filename,clean_filepath,noisy_filepath,speaker,noise_type,snr,length
p227_031,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_031_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_031_16k.wav,p227,ssn,10.0,51005
p227_032,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_032_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_032_16k.wav,p227,ssn,5.0,40854
p227_033,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_033_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_033_16k.wav,p227,ssn,0.0,37023
p227_034,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_034_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_034_16k.wav,p227,station,15.0,39384
p227_035,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_035_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_035_16k.wav,p227,station,10.0,42973
p227_036,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_036_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_036_16k.wav,p227,station,5.0,50015
p227_037,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_037_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_037_16k.wav,p227,station,0.0,48623
p227_038,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_038_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_038_16k.wav,p227,traffic,15.0,45261
p227_039,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_039_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_039_16k.wav,p227,traffic,10.0,42801
p227_040,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_040_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_040_16k.wav,p227,traffic,5.0,54418
p227_041,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_041_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_041_16k.wav,p227,traffic,0.0,31091
p227_042,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_042_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_042_16k.wav,p227,babble,15.0,48154
p227_043,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_043_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_043_16k.wav,p227,babble,10.0,35231
p227_044,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_044_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_044_16k.wav,p227,babble,5.0,27109
p227_045,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_045_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_045_16k.wav,p227,babble,0.0,32839
p227_046,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_046_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_046_16k.wav,p227,cafeteria,15.0,32344
p227_047,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_047_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_047_16k.wav,p227,cafeteria,10.0,49534
p227_048,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_048_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_048_16k.wav,p227,cafeteria,5.0,46527
p227_049,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_049_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_049_16k.wav,p227,cafeteria,0.0,42362
p227_050,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_050_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_050_16k.wav,p227,car,15.0,38123
p227_051,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_051_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_051_16k.wav,p227,car,10.0,50616
p227_052,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_052_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_052_16k.wav,p227,car,5.0,60709
p227_053,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_053_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_053_16k.wav,p227,car,0.0,38802
p227_054,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_054_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_054_16k.wav,p227,kitchen,15.0,33440
p227_055,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_055_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_055_16k.wav,p227,kitchen,10.0,35626
p227_056,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_056_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_056_16k.wav,p227,kitchen,5.0,25908
p227_057,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_057_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_057_16k.wav,p227,kitchen,0.0,29547
p227_058,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_058_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_058_16k.wav,p227,meeting,15.0,28269
p227_059,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_059_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_059_16k.wav,p227,meeting,10.0,29278
p227_060,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_060_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_060_16k.wav,p227,meeting,5.0,67902
p227_061,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_061_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_061_16k.wav,p227,meeting,0.0,68842
p227_062,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_062_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_062_16k.wav,p227,metro,15.0,43840
p227_063,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_063_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_063_16k.wav,p227,metro,10.0,38560
p227_064,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_064_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_064_16k.wav,p227,metro,5.0,88000
p227_065,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_065_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_065_16k.wav,p227,metro,0.0,61243
p227_066,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_066_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_066_16k.wav,p227,restaurant,15.0,60480
p227_067,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_067_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_067_16k.wav,p227,restaurant,10.0,43990
p227_068,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_068_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_068_16k.wav,p227,restaurant,5.0,30808
p227_069,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_069_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_069_16k.wav,p227,restaurant,0.0,61981
p227_070,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_070_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_070_16k.wav,p227,ssn,15.0,44957
p227_071,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_071_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_071_16k.wav,p227,ssn,10.0,47170
p227_072,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_072_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_072_16k.wav,p227,ssn,5.0,63250
p227_073,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_073_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_073_16k.wav,p227,ssn,0.0,31076
p227_074,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_074_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_074_16k.wav,p227,station,15.0,31206
p227_075,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_075_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_075_16k.wav,p227,station,10.0,59842
p227_076,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_076_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_076_16k.wav,p227,station,5.0,39552
p227_077,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_077_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_077_16k.wav,p227,station,0.0,40451
p227_078,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_078_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_078_16k.wav,p227,traffic,15.0,51908
p227_079,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_079_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_079_16k.wav,p227,traffic,10.0,61026
p227_080,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_080_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_080_16k.wav,p227,traffic,5.0,55496
p227_081,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_081_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_081_16k.wav,p227,traffic,0.0,50400
p227_082,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_082_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_082_16k.wav,p227,babble,15.0,56640
p227_083,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_083_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_083_16k.wav,p227,babble,10.0,40480
p227_084,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_084_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_084_16k.wav,p227,babble,5.0,50400
p227_085,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_085_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_085_16k.wav,p227,babble,0.0,57429
p227_086,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_086_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_086_16k.wav,p227,cafeteria,15.0,49665
p227_087,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_087_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_087_16k.wav,p227,cafeteria,10.0,62581
p227_088,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_088_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_088_16k.wav,p227,cafeteria,5.0,43337
p227_089,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_089_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_089_16k.wav,p227,cafeteria,0.0,36320
p227_090,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_090_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_090_16k.wav,p227,car,15.0,50880
p227_091,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_091_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_091_16k.wav,p227,car,10.0,40320
p227_092,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_092_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_092_16k.wav,p227,car,5.0,48727
p227_093,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_093_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_093_16k.wav,p227,car,0.0,62040
p227_094,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_094_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_094_16k.wav,p227,kitchen,15.0,35338
p227_095,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_095_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_095_16k.wav,p227,kitchen,10.0,28565
p227_096,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_096_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_096_16k.wav,p227,kitchen,5.0,45235
p227_097,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_097_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_097_16k.wav,p227,kitchen,0.0,49107
p227_098,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_098_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_098_16k.wav,p227,meeting,15.0,71840
p227_099,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_099_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_099_16k.wav,p227,meeting,10.0,59040
p227_100,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_100_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_100_16k.wav,p227,meeting,5.0,32747
p227_101,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_101_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_101_16k.wav,p227,meeting,0.0,55018
p227_102,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_102_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_102_16k.wav,p227,metro,15.0,43742
p227_103,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/clean_trainset_26spk_wav_16k/p227_103_16k.wav,/mnt/beegfs/robotlearn/xbie/VoiceBankDemand/noisy_trainset_26spk_wav_16k/p227_103_16k.wav,p227,metro,10.0,39840
